loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,total_assets
0,2,0,0,94,296,5,478,25,175,224,80,0,504
1,0,1,1,39,119,3,117,28,22,85,33,1,168
2,3,0,0,89,294,9,206,72,45,330,127,1,574
3,3,0,0,80,304,3,167,183,33,230,79,1,525
4,5,1,1,96,239,9,82,125,82,291,50,1,548
5,0,0,1,46,132,4,19,69,83,134,51,1,337
6,5,0,0,85,327,1,378,226,148,289,43,0,706
7,2,0,1,55,147,9,82,133,57,115,60,1,365
8,0,0,1,6,19,9,482,14,8,25,6,0,53
9,5,1,0,9,40,4,88,33,14,30,16,1,93
10,4,0,1,27,109,0,247,82,47,92,31,0,252
11,2,1,1,65,224,8,238,154,58,201,64,1,477
12,3,1,1,48,113,7,11,65,96,143,43,1,347
13,2,0,1,89,312,6,379,109,166,206,50,0,531
14,1,1,0,17,71,2,169,20,12,56,19,1,107
15,5,1,0,45,104,4,494,58,39,161,44,0,302
16,2,0,1,3,13,1,363,14,1,10,7,0,32
17,4,1,1,27,91,6,480,30,28,64,43,0,165
18,2,0,0,25,100,4,436,11,0,59,33,0,103
19,5,0,0,61,143,5,352,104,35,232,59,0,430
20,2,0,0,48,191,5,15,96,16,177,61,1,350
21,4,0,0,56,137,7,230,39,113,219,54,1,425
22,4,0,1,63,254,8,11,132,17,192,85,1,426
23,0,1,1,3,11,0,251,10,6,8,3,0,27
24,0,1,0,47,95,7,24,39,87,97,33,1,256
25,5,1,0,29,92,9,214,80,31,63,26,1,200
26,4,0,0,80,278,5,396,116,106,250,72,0,544
27,4,1,1,22,53,1,362,46,42,51,25,0,164
28,5,1,1,68,237,2,36,24,119,272,97,1,512
29,3,1,1,88,312,4,550,219,124,334,80,0,757
30,2,1,0,96,250,5,13,203,52,252,93,1,600
31,2,0,0,55,117,2,63,37,74,214,43,1,368
32,1,1,1,6,13,4,136,8,2,19,10,1,39
33,5,1,1,82,217,0,530,39,39,196,54,0,328
34,3,0,0,47,116,3,312,98,12,187,58,0,355
35,2,0,1,15,31,3,391,28,28,57,9,0,122
36,3,1,0,14,59,8,336,35,7,50,14,0,106
37,5,0,1,78,269,2,48,65,3,164,71,1,303
38,5,0,0,34,74,7,530,71,13,97,29,0,210
39,3,1,1,13,48,2,52,2,2,53,9,1,66
40,1,0,0,76,178,0,412,87,112,214,90,0,503
41,2,1,0,89,246,7,522,224,121,307,52,0,704
42,3,0,0,12,31,2,240,3,15,36,8,1,62
43,2,0,1,6,20,5,42,23,13,15,8,1,59
44,5,0,0,63,131,8,487,183,3,159,54,0,399
45,4,0,0,78,275,7,31,131,63,211,109,1,514
46,3,1,1,40,143,2,379,25,69,84,49,0,227
47,1,0,1,47,188,6,377,55,91,174,65,0,385
48,3,1,0,53,202,5,334,9,86,182,82,0,359
49,1,1,1,93,188,7,362,2,105,370,117,0,594
50,4,0,0,71,251,7,202,6,18,202,105,1,331
51,2,0,0,85,244,4,135,69,35,215,113,1,432
52,5,1,0,36,73,1,389,88,1,90,34,0,213
53,1,1,1,82,227,5,357,155,148,316,82,0,701
54,2,0,1,49,194,9,290,75,93,191,34,0,393
55,5,1,0,65,242,5,518,13,56,160,62,0,291
56,2,1,0,41,103,8,131,22,15,90,52,1,179
57,5,0,1,91,302,8,541,194,103,343,87,0,727
58,1,0,0,72,181,9,121,186,91,172,41,1,490
59,4,1,1,53,179,7,497,0,49,183,48,0,280
60,2,1,0,83,186,8,178,238,163,256,114,1,771
61,3,1,1,94,302,8,369,48,19,262,93,0,422
62,5,1,1,86,286,2,65,244,86,271,47,1,648
63,3,1,1,31,72,9,286,17,56,102,29,0,204
64,4,0,1,37,120,8,484,77,69,128,28,0,302
65,1,0,0,39,100,5,64,96,61,146,28,1,331
66,3,1,0,81,288,4,415,62,119,238,119,0,538
67,0,1,1,25,98,9,393,3,17,56,14,1,90
68,4,0,0,54,121,1,477,56,31,115,55,0,257
69,0,0,0,17,47,5,12,41,28,46,24,1,139
70,4,1,1,3,12,9,40,2,2,16,6,1,26
71,5,0,1,51,183,1,86,28,97,116,42,0,283
72,5,1,0,68,180,1,118,185,117,212,76,1,590
73,3,1,1,56,164,7,435,40,94,123,56,0,313
74,2,1,0,24,81,2,194,66,38,53,20,1,177
75,2,1,0,17,62,8,371,7,25,45,11,0,88
76,4,0,0,55,145,7,397,144,78,126,63,0,411
77,0,0,0,88,332,3,501,117,89,350,111,0,667
78,2,1,0,83,291,5,276,177,56,249,90,0,572
79,0,1,0,5,11,6,339,20,7,21,9,0,57
80,4,0,0,33,86,1,170,14,22,120,20,1,176
81,0,1,0,86,309,1,526,30,5,330,86,0,451
82,2,1,1,97,209,7,63,255,114,263,68,1,700
83,3,0,0,34,83,9,313,95,3,100,33,0,231
84,3,1,1,28,79,7,413,54,58,107,34,0,253
85,2,0,0,66,209,7,139,172,47,230,36,1,485
86,5,1,1,9,35,8,87,14,12,35,16,1,77
87,1,1,1,85,280,3,102,205,136,276,102,1,719
88,4,0,1,18,77,2,537,52,26,36,29,0,143
89,2,1,0,96,367,4,341,241,0,231,76,0,548
90,4,0,0,55,208,8,189,6,43,122,60,1,231
91,4,0,0,86,204,8,240,193,32,221,126,1,572
92,4,0,0,36,86,1,544,92,35,128,47,0,302
